"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2519","Input Fields","chromium","2026-06-11","passed","2026-06-11","","tests\testMobile.spec.ts","",""
"","2266","Input Fields","mobile","2026-06-11","passed","2026-06-11","","tests\testMobile.spec.ts","",""
